nom,note,date,texte
Raynald Thibodeau,4.0,2018 05 31,Very pretty
Isa LL,1.0,2018 05 31,Terrace with empty table and a wait of 1h30 to get one! Beautiful incompetence!
Mehdi Haouchine,5.0,2018 05 31,
Teena Dowd,5.0,2018 05 31,We've come here 2 nights in a row if that tells you how much we like this place. Our meals have been awesome! The service is very friendly and extremely quick even though this place is packed. Wish we had this restaurant back home!
Matt Latt,4.0,2018 05 31,Beautiful big serious cage!!
Moon S,3.0,2018 05 31,"A common place where you can have a luch but the prices are quiet expensive for such quality. Very well situated close to Place des Arts, very common to watch hockey matches and drink a beer. The overall quality of service could be improved, the waiting time as well. I definitely did not liked the food but the atmosphere is nice. I would recommend for a drink only."
Luc Dupuis,4.0,2018 05 31,Good food and pleasant atmosphere.
Normand Archambault,5.0,2018 05 31,Very good service. Good food. Competitive prices
Eran Goldstein,2.0,2018 05 31,"Crowded, half an hour wait for a burger, got it a bit cold and not the best meat.Nice big TVs and coloring books for the children."
Simon S,4.0,2018 05 31,Good place to grab a drink for a sport event. Great location
Patrick Leblanc,4.0,2018 05 31,I didn't eat but the atmosphere was excellent. It wasn't even 5 p.m. and it was full. Good music and good beer.
Iréne Grey,3.0,2018 05 31,
Enrico Latour,5.0,2018 05 31,
VDoups,5.0,2018 05 31,"Very friendly and knowledgeable bar staff. A must-have for hockey, football and soccer games!👌"
Caroline Foucher,4.0,2018 05 31,"Best popcorn in the world!! the atmosphere is good, especially when there is a Canadian game. The poke bowl is super good but there is a little too much sauce."
Ron Funk,4.0,2018 05 31,"Great food, exceptional service from very friendly staff and great atmosphere"
Francois Descarie,5.0,2018 05 31,
Oliver Rose,4.0,2018 05 31,The menu has changed and for those complaining there is no reason the quality of the food is much better than before and the beer is cold! Great location during festivals in Montreal!
Meriem Zouari,1.0,2018 05 31,"I tried the salmon ciabatta and the salmon was very cold. I mentioned it to the waitress who told her manager about it. The 2 made me the same offer which was to reserve the dish. As I had already eaten half, I said no. The manager told me that he will see what he can do without mentioning anything to me. My colleague also found a piece of paper in his bowl of mayonnaise. He just asked for his bowl to be changed. In the end I got a free drink but nothing for my colleague!! I'm just saying, if they don't like giving their customers a discount. They only have to do a quality control before taking the dishes out of their kitchen. Knowing that their dishes are made expensive for what it tastes like! The other point why is that the manager came to see me, if to offer me the same thing as the waitress at the start! He tried it just in case I said yes that I was given the same dish again? In short!! I go there sometimes, just because it's next to the job and every time I regret!!!"
wynterlw,5.0,2018 05 31,
Vg G,4.0,2018 05 31,
Partho,4.0,2018 05 31,
Bart,4.0,2018 05 31,Solid food and excellent selection of beer.
james rousseau,4.0,2018 05 31,I went to have a beer and eat a small bite. Warm welcome despite the high traffic. Negative point: I took a meal of salmon tartare to share and the portion was ridiculously small and there were no croutons.
Al Chahine,3.0,2018 05 31,"Good atmosphere , food needs improvement"
Janet Huang,1.0,2018 05 31,
Raphael Grondin,4.0,2018 05 31,"Small selection of beer from Quebec, which is cool. However, the portions of tartare are small."
Louise Lelievre,1.0,2018 05 31,"I have never eaten nachos so soggy and cold as in this restaurant, not to mention the waitress who insisted that it was normal as a plate. Very disappointed, will definitely not be going back!"
Vicki-Anne Patterson,4.0,2018 05 31,
Jason Giguere,4.0,2018 05 31,Very nice cage
Dina Sing,1.0,2018 05 31,Accounting for 23 years.
Eric Norden,3.0,2018 05 31,Nothing special
Pietro Barthelemy,3.0,2018 05 31,"Too expansive for the food quality you can find better at the same king of restaurant, and the quality is not as good as the cage of place Versailles"
JC B,5.0,2018 05 31,
Jack K,1.0,2018 05 31,Food poisoning. The beef in the Japanese salad was done at medium well but seemed to be contaminated and caused food poisoning. Make sure to order meat well done here...
Mike Lecky,2.0,2018 05 31,"I went here on an NFL Sunday. Giant tv and a bunch of good sized other ones but no sound on. Maybe there's sound for Habs games but not for football. I ordered a Caeser based off the photo of it in the menu (a pint sized drink) and received about 8oz of unimpressiveness. I ordered a burger and fries, the burger was dry and bland, the fries were cold. There are tons of sports bars in the area, if you want an actual sports bar experience this is not the place."
Philippe Fortin,4.0,2018 05 31,
Mike Willis,1.0,2018 05 31,"Don't go here for lunch - for $17 + mandatory taxes and tips, I received the smallest ever portion of fish and smallest ever side salad. Very poor value."
Thierry Sombreffe,3.0,2018 05 31,Interesting brasserie just when there is a sporting event. Charged a little high for the quality of food.
Rustam Vosilov,3.0,2018 05 31,"Beer is good. The burger(sausage&beef) was mediocre too dry, not much flavour. The service was good."
David Becker,5.0,2018 05 31,"Great place for lunch! Fast service, friendly staff, cold beer. Not much more you can ask for."
Kévin Lacasse,4.0,2018 05 31,Perfect atmosphere especially during Canadian games. The service is impeccable all the food.
Louis Fortin,5.0,2018 05 31,
Amanda Fusco,1.0,2018 05 31,Wasn't greeted at our table by any waiter nor did we even get a glass of water for 1.5 hours (which we prompted). The kitchens fridge was apparently broken so more than half of the drink menu wasn't available. Waited another 45 mins for our food which came to our table cold.
Aboubaker Kaddour,1.0,2018 05 31,"It is called a 'The sports cage', I came and asked if it is possible to watch an italian league soccer game and they told me that we will only display champions league because we don't have any screens available, given that one screen had golf, the other had 2006 worldcup scenes, and the other had Donald Trumps tweets !!! Way to go 'Sports' cage !!"
Melissa Gatti,1.0,2018 05 31,Really bad service. We were made to pay for the most expensive rosé when there was only the least expensive in their stocks. No gesture and above all an unnamed condescension. Never again.
Danny Zhang,1.0,2018 05 31,"We were 8 people who were here for the free wings promotion, they made us wait one hour before telling us the promotion was gone. They think a sorry will make the cut for making us wait one hour. We were so pissed."
Delia Dyer,5.0,2018 05 31,Amazing! Love the food! 10 free wings for every win!! yeahhh! Love the free popcorn! Great atmosphere! Friendly staff! One of my favorite places!
Nathalie Pillot,2.0,2018 05 31,Service is very slow. It used to be very good. I don't know what happened. It seems that the restaurant has new staff and it is not in a positive way. Once waited for an hour for chicken wings.
Michael Ayoub,4.0,2017 05 31,Great place to bring the kids for lunch on the weekends
É Chan,3.0,2017 05 31,"Lunch with colleagues. Food is good, prices are ok/quantity. Unlimited popcorn and soft drink with lunch menu."
Feng Lin,1.0,2017 05 31,Waited a long long time for just a glass of water...
Guilherme Garcia,5.0,2017 05 31,
Nicolas Lacombe,4.0,2017 05 31,"Very tasty new menus. A bit expensive but not too much. Fast service. A lot of big screens. Selection of beer is ok (they have Heineken, leffe and others)"
MobbiusTTV,5.0,2017 05 31,"Great service, food and beer!!!"
Nathan Woynarski,5.0,2017 05 31,Got the hotel to recommend a place and call for a table for us. LOVED the food and the service was quite good.
Alexandre Beaulieu,1.0,2017 05 31,"Total lack of organization: people who did not have a reservation passed before us, who had one. A first hostess told us that as we had a reservation we didn't have to wait in line; so we walked through the crowd to the reception desk. After 10 to 15 minutes of waiting we were told by another employee to go back to the front of the line. Completely unacceptable. We left immediately as it seemed pointless, even harmful, to have made a reservation. Flat also to display equipment for brewing beer, including huge tanks, in the window when in reality no beer seems to be brewed on site (to be confirmed, I concede); misleading marketing and a senseless use of expensive commercial space in my opinion."
Mario Bouvier,1.0,2017 05 31,"We had a reservation and we were placed in a section where we couldn't see the screens for the hockey game. From the explanations of the manager, we understood that the responsibility for customer service fell to the reservation system. So we went to their neighbor and had a great evening at the St-Hub."
Guy Paquette,4.0,2017 05 31,A more refined cuisine than La cage aux Sports: the beef and salmon tartars are to be tried. The specials are interesting; we got 50% off bottled wine.
Martin Arganaraz,4.0,2017 05 31,Very nice casual place for watching sports.with friends.Vegetarian options availables.
Mathieu Berger,4.0,2017 05 31,"Good service, very good beers and burgers as well as their salads. A bit noisy place, what could be more logical in a brasserie showing sporting events."
Jeffrey Philipp,4.0,2017 05 31,"Large selection of beers, and a good spot for Habs fans when they have a good game due to the 8 free wings."
Aria Motazedi,5.0,2017 05 31,If I go to Montreal again I will always come eat their amazing ribs best ribs in Town
marc helpin,4.0,2017 05 31,
Dominique Huet,2.0,2017 05 31,"The menu is tempting, but the result on the plate is disappointing: bland fish fillet stranded on a heap of rice, a stifling and very salty chicken and Brie sandwich... all quite expensive."
David Thibodeau,4.0,2017 05 31,"My meal was ok, but we waited a long time between starter and main meal"
Thalie R-Chartrand,4.0,2017 05 31,
Alex Marzougui,5.0,2017 05 31,"Great ambiance, food was greatly improved as well as beer selection , a lot classier"
